geo_id,pop,date,case_count,hosp_count,death_count,pcr_test_count,pcr_test_pos_count,pcr_test_pos_percent
King,2260800,01/01/2020,0,0,0,4,0,0
King,2260800,01/02/2020,0,0,0,0,0,
King,2260800,01/03/2020,0,0,0,0,0,
King,2260800,01/04/2020,0,0,0,42,2,4.7619
King,2260800,01/05/2020,0,0,0,7,0,0
King,2260800,01/06/2020,0,0,0,1,0,0
King,2260800,01/07/2020,2,0,0,4,2,50
King,2260800,01/08/2020,0,1,0,0,0,
King,2260800,01/09/2020,0,0,0,0,0,
King,2260800,01/10/2020,0,0,0,1,0,0
King,2260800,01/11/2020,0,0,0,1,0,0
King,2260800,01/12/2020,0,0,0,3,0,0
King,2260800,01/13/2020,0,0,0,0,0,
King,2260800,01/14/2020,0,0,0,0,0,
King,2260800,01/15/2020,0,0,0,0,0,
King,2260800,01/16/2020,0,0,0,0,0,
King,2260800,01/17/2020,0,0,0,1,0,0
King,2260800,01/18/2020,0,0,0,0,0,
King,2260800,01/19/2020,0,0,0,0,0,
King,2260800,01/20/2020,0,0,0,0,0,
King,2260800,01/21/2020,0,0,0,1,0,0
King,2260800,01/22/2020,0,0,0,1,0,0
King,2260800,01/23/2020,0,1,0,2,0,0
King,2260800,01/24/2020,0,0,0,0,0,
King,2260800,01/25/2020,0,0,0,0,0,
King,2260800,01/26/2020,0,0,0,0,0,
King,2260800,01/27/2020,0,1,0,6,0,0
King,2260800,01/28/2020,0,0,0,1,0,0
King,2260800,01/29/2020,0,0,0,3,0,0
King,2260800,01/30/2020,0,0,0,1,0,0
King,2260800,01/31/2020,0,0,0,3,0,0
King,2260800,02/01/2020,0,1,0,0,0,
King,2260800,02/02/2020,0,0,0,1,0,0
King,2260800,02/03/2020,0,0,0,0,0,
King,2260800,02/04/2020,0,0,0,1,0,0
King,2260800,02/05/2020,0,0,0,1,0,0
King,2260800,02/06/2020,0,0,0,0,0,
King,2260800,02/07/2020,0,0,0,0,0,
King,2260800,02/08/2020,0,2,0,1,0,0
King,2260800,02/09/2020,0,0,0,2,0,0
King,2260800,02/10/2020,0,0,0,19,0,0
King,2260800,02/11/2020,0,3,0,24,0,0
King,2260800,02/12/2020,0,1,0,0,0,
King,2260800,02/13/2020,0,0,0,41,0,0
King,2260800,02/14/2020,0,0,0,0,0,
King,2260800,02/15/2020,0,2,0,0,0,
King,2260800,02/16/2020,0,0,0,0,0,
King,2260800,02/17/2020,0,1,0,0,0,
King,2260800,02/18/2020,0,1,0,1,0,0
King,2260800,02/19/2020,0,3,0,2,0,0
King,2260800,02/20/2020,0,3,0,1,0,0
King,2260800,02/21/2020,1,4,0,1,1,100
King,2260800,02/22/2020,1,4,0,2,1,50
King,2260800,02/23/2020,1,2,0,2,1,50
King,2260800,02/24/2020,1,5,0,2,1,50
King,2260800,02/25/2020,1,1,0,2,1,50
King,2260800,02/26/2020,2,1,2,3,2,66.6667
King,2260800,02/27/2020,3,10,0,5,3,60
King,2260800,02/28/2020,9,7,2,9,9,100
King,2260800,02/29/2020,16,4,1,25,16,64
King,2260800,03/01/2020,12,4,3,43,12,27.907
King,2260800,03/02/2020,18,14,2,100,18,18
King,2260800,03/03/2020,15,12,3,120,16,13.3333
King,2260800,03/04/2020,25,10,2,152,25,16.4474
King,2260800,03/05/2020,38,21,4,209,38,18.1818
King,2260800,03/06/2020,25,15,4,225,25,11.1111
King,2260800,03/07/2020,21,11,0,181,21,11.6022
King,2260800,03/08/2020,44,14,5,231,45,19.4805
King,2260800,03/09/2020,36,14,3,430,36,8.3721
King,2260800,03/10/2020,71,19,2,756,71,9.3915
King,2260800,03/11/2020,62,16,2,831,62,7.4609
King,2260800,03/12/2020,99,23,4,1241,99,7.9774
King,2260800,03/13/2020,121,15,3,1447,121,8.3621
King,2260800,03/14/2020,75,16,4,810,75,9.2593
King,2260800,03/15/2020,46,13,4,480,46,9.5833
